Ticker,Quarter,Gross Margin,Operating Margin,Net Margin,Interest Coverage Ratio,Earnings Volatility Proxy
METC,2021-Q2,0.24054327675296158,0.09433714188043178,0.13071775116031398,25.353356890459363,12508998.254589908
METC,2021-Q3,0.2824017701664114,0.11682836456001153,0.09210888094583448,9.563772775991426,12508998.254589908
METC,2021-Q4,0.4098165819096052,0.25889949145763097,0.21300497114450603,19.90773286467487,12508998.254589908
ZYXI,2021-Q2,0.7657468893043646,0.12297724195732061,0.09051640771065696,84.77777777777777,1726556.7613026784
ZYXI,2021-Q3,0.803455413097223,0.23129994825504513,0.17555913298453402,447.0,1726556.7613026784
ZYXI,2021-Q4,0.7689095637522435,0.19010292663272407,0.18249636765442048,-12.804276315789474,1726556.7613026784
CEG,2021-Q4,0.08911785972523499,-0.010665220535068692,0.007592190889370932,-0.8194444444444444,431000000.0
ASO,2021-Q2,0.35862977455024475,0.1420897221927626,0.10633927425161734,20.939211976638973,44246402.55339033
ASO,2021-Q3,0.3521093423824158,0.13568161627830325,0.10127166396177788,18.917454481792717,44246402.55339033
ASO,2021-Q4,0.3229580805874579,0.1095965097568663,0.07839223210780383,18.25232526015287,44246402.55339033
ARKO,2021-Q2,0.13548596879067804,0.02395835405960999,0.013362034208566907,3.813953488372093,10630471.52842557
ARKO,2021-Q3,0.13455671016986048,0.026890605167607443,0.017461227710939876,3.792833379539784,10630471.52842557
ARKO,2021-Q4,0.12806224710228573,0.014266134528381129,0.006478708181500399,1.7546551190844417,10630471.52842557
CXDO,2021-Q2,0.6264059525869528,-0.21526215608236718,-0.17390551998615678,-56.54545454545455,950226.1134417779
CXDO,2021-Q3,0.6202043132803632,0.006015891032917139,-0.014188422247446084,2.2083333333333335,950226.1134417779
CXDO,2021-Q4,0.591929746554024,-0.08859493108048021,-0.06691863050244554,-39.85,950226.1134417779
IRMD,2021-Q2,0.7473990672981176,0.18798638957769712,0.14980944246746547,,430660.6374338347
IRMD,2021-Q3,0.7706357630878837,0.28301086739873893,0.23619599053918192,,430660.6374338347
IRMD,2021-Q4,0.7790667960373491,0.26190530335572054,0.32786262113761977,,430660.6374338347
SIGA,2022-Q1,0.35525221585625316,-0.19654502906211171,-0.049317758868069266,,
EWCZ,2021-Q3,0.7383240497031278,0.004958070637203893,-0.11285221684927874,0.025538623226484498,687006.3075887056
EWCZ,2021-Q4,0.7218896869734859,0.14746829830628713,0.04690963908841004,4.1575,687006.3075887056
EWCZ,2022-Q1,0.7360322282393343,0.13967771760665698,0.04149605952538194,4.210351692103517,687006.3075887056
LFVN,2021-Q3,0.8290091138258677,0.04048865619546248,0.03343028892767113,1044.0,1184203.3890623124
LFVN,2021-Q4,0.8213998831605083,0.12012560245362933,0.08958302906382357,387.05882352941177,1184203.3890623124
LFVN,2022-Q1,0.8228055012776191,0.08665263790771081,0.062302720577183224,1537.3333333333333,1184203.3890623124
FIP,2022-Q3,,-0.08118738782316476,-0.4431446428798737,-0.33286362924690777,7800656.510832919
LOCO,2022-Q1,0.45111224193079386,0.0319587816225647,0.019218886304158186,8.179069767441861,2053082.7228016572
LOCO,2022-Q2,,0.08636623667523427,0.05753720459910886,25.58233890214797,2053082.7228016572
LOCO,2022-Q3,0.47077862493535094,0.05926024791871736,0.04178414721633661,65.77777777777777,2053082.7228016572
CRCT,2022-Q2,0.4648965753685574,0.10899720826961694,0.07524611307324347,,3511708.5110621904
CRCT,2022-Q3,0.46234943162557346,0.09842595312888427,0.07030667359714343,,3511708.5110621904
CRCT,2022-Q4,0.29780239350334803,0.03952129933038894,0.0387911383387947,,3511708.5110621904
LIN,2022-Q2,0.4158685112924205,0.07390327539316542,0.04398722951401206,125.0,39408120.99047569
LIN,2022-Q3,0.39922700920768445,0.18722291690348983,0.1447084233261339,91.5,39408120.99047569
LIN,2022-Q4,0.43954931003924547,0.34434738574503104,0.20205089251804026,87.74193548387096,39408120.99047569
MCRI,2022-Q2,0.5532184336753724,0.22257977777585025,0.1685763602772164,36.65857142857143,3001741.9803618477
MCRI,2022-Q3,0.5867999730794828,0.2718673117620226,0.20559049406626934,41.788505747126436,3001741.9803618477
MCRI,2022-Q4,0.5570783832216102,0.23292626269330324,0.18611037366429947,140.38,3001741.9803618477
IRDM,2022-Q2,0.7324990424139173,0.11890646527821448,0.02605205838130792,1.4072395128552098,29550861.356594436
IRDM,2022-Q3,0.7132239487123764,0.09710963816146909,0.01167554058459198,1.0137250453720508,29550861.356594436
IRDM,2022-Q4,0.7060865886625808,0.0968499143605935,-0.004168472316803896,1.037182320441989,29550861.356594436
PRPL,2022-Q3,0.4129715049661573,0.006299565329992231,0.013691055317183114,1.2552301255230125,13343016.185130965
PRPL,2022-Q4,0.345878521187762,-0.0827622050518,-0.49659401961124006,-10.96694214876033,13343016.185130965
PRPL,2023-Q1,0.3802036972837239,-0.2308131962858508,-0.24298443692786267,-121.95049504950495,13343016.185130965
GEHC,2022-Q4,0.39125151883353587,0.15735115431348723,0.1328473066018631,13.169491525423728,199024914.6882537
GEHC,2023-Q1,0.4017420862545146,0.11875929466751646,0.08370512003399193,4.110294117647059,199024914.6882537
NSSC,2022-Q3,0.41868820498537807,0.1276145383651302,0.09115722044283527,,1396068.8557517389
NSSC,2022-Q4,0.44470147354784983,0.1895486825973305,0.17435055171297045,482.0,1396068.8557517389
NSSC,2023-Q1,0.3688248550376016,0.09237079988858785,0.07808978806370749,,1396068.8557517389
PRDO,2022-Q4,0.8227766896590877,0.14442646683130375,0.09057878452411365,-8.294750570590153,15535452.584331105
PRDO,2023-Q1,0.8269358582398593,0.2244705978588738,0.17630037116943936,-11.793177544990598,15535452.584331105
PRDO,2023-Q2,0.8244677429729208,0.2618886816320405,0.2930522501661628,-11.016685456595265,15535452.584331105
FA,2022-Q4,0.4924386744749406,0.13519603001011313,0.09476234154142854,5.530498364441024,7664063.021661552
FA,2023-Q1,0.4811930264357338,0.06430606198723793,0.010967411121239746,1.3001958299735052,7664063.021661552
FA,2023-Q2,0.49816798424304565,0.0951730836683485,0.052785797156193505,4.537432467198354,7664063.021661552
MEIP,2023-Q1,,-2.086941580756014,-1.904238258877434,37.95625,33232914.451138146
MEIP,2023-Q2,,0.2726745074079731,0.3132121582404155,-10.563313609467455,33232914.451138146
MEIP,2023-Q3,,-2.7809636918900575,-2.6192738378011535,17.12748171368861,33232914.451138146
BKNG,2023-Q2,,0.3062980593189308,0.2361772244599048,-66.92,976913634.8726022
BKNG,2023-Q3,,0.42269445579621306,0.3420514916223948,-88.65714285714286,976913634.8726022
BKNG,2023-Q4,,0.12729933110367894,0.04640468227424749,-21.0,976913634.8726022
HUBG,2023-Q2,0.12977888668687565,0.05883059640813408,0.04469649059744613,59.48590864917396,8978009.040613253
HUBG,2023-Q3,0.11092712485424483,0.04077729585738192,0.02972088189806164,59.78540772532189,8978009.040613253
HUBG,2023-Q4,0.10867665018989404,0.028594256174728914,0.029222667897094788,273.45631067961165,8978009.040613253
META,2023-Q2,0.8142129441545048,0.29350917216163,0.24338260570642833,,2637013509.635474
META,2023-Q3,0.8181338956246705,0.4026240262402624,0.33921982076963625,,2637013509.635474
META,2023-Q4,0.8081573633167959,0.4084665054473835,0.3494552616489242,,2637013509.635474
WLFC,2023-Q3,0.9280911627027283,0.3760839756016833,0.13823821457279303,2.087392399748058,4177509.8643410364
WLFC,2023-Q4,0.8911970598529927,0.3593017150857543,0.09584354217710886,1.843863666981005,4177509.8643410364
WLFC,2024-Q1,0.9304770622171091,0.42392281014082617,0.1752475164381146,2.194583315219754,4177509.8643410364
GOOG,2023-Q3,0.5667270806983689,0.27829136948613303,0.25672486406842865,,2250566521.271181
GOOG,2023-Q4,0.564650677789364,0.27455683003128256,0.2396825396825397,,2250566521.271181
GOOG,2024-Q1,0.5814201815269621,0.3162691366915407,0.2937955524652653,,2250566521.271181
DWSN,2023-Q3,0.5244980619311006,-0.24789861068768781,-0.22638386829841906,33.48235294117647,5052653.428315331
DWSN,2023-Q4,0.4486355016901641,0.007420232500618353,-0.08681672025723473,-2.0,5052653.428315331
DWSN,2024-Q1,0.4581433637284701,0.18370060790273557,0.1850937183383992,-86.59701492537313,5052653.428315331
